id,width,height
949306-0,1500,2000
810340-0,1224,1632
1674461-2,2304,1728
781983-2,4608,3456
810554-0,2080,1560
805832-2,3648,2736
2193475-0,3648,2736
935637-2,1632,1224
2082911-1,2000,1500
2178180-2,2048,1536
753389-0,4000,3000
769919-0,1920,2560
621482-0,4000,3000
520054-0,2736,3648
756226-2,1560,2080
1061966-2,1504,1128
762319-2,3456,4608
1011702-0,3456,4608
669645-1,3000,4000
1226595-0,2000,1500
671920-2,2304,1728
785095-3,1488,1984
2193499-0,1952,1464
810553-2,1560,2080
936164-2,3648,2736
1046257-1,2304,1728
941283-1,4000,3000
1282516-2,4608,3456
847252-1,1500,2000
648032-1,1368,1824
2178911-0,2048,1536
1942746-0,1536,2048
1018722-0,2304,1728
812239-1,1632,1224
851885-1,1500,2000
882872-4,2080,1560
1282516-0,3456,4608
648065-1,1632,1224
766812-0,2000,1500
881608-0,1496,2000
813913-0,3456,4608
1948798-0,2048,1536
1354664-2,4608,3456
2211229-1,1512,2016
937053-0,1560,2080
810340-1,1224,1632
2017821-0,3456,4608
870863-1,1728,2304
744675-1,1728,2304
807166-2,2000,1500
546164-0,3648,2736
883137-2,4000,3000
1311928-2,4000,3000
935634-1,1224,1632
1451327-1,1500,2000
1001310-2,1632,1224
1015284-0,2040,1536
581692-2,1824,1368
810608-0,1496,2000
889276-1,4000,3000
808836-0,2080,1560
2208032-0,2080,1560
767672-1,2080,1560
970854-0,2736,3648
685988-1,1512,2016
755592-2,4608,3456
714767-0,2080,1560
894791-0,4000,3000
1371573-2,2080,1560
2156575-0,1940,2592
2242492-0,1952,1464
810480-1,1728,1296
805861-1,3456,4608
765800-1,2304,1728
654836-2,2016,1512
1353538-2,3456,4608
767357-2,1500,2000
755582-2,4608,3456
756231-2,2304,1728
2252585-0,1632,1224
758497-0,1224,1632
1350434-1,3000,4000
885608-0,2304,1728
648060-2,4000,3000
888096-1,1488,1984
669615-1,4608,3456
559454-0,3000,4000
785846-0,2080,1560
756323-0,1560,2080
755592-0,3456,4608
1363709-2,3000,4000
669715-2,1224,1632
870374-0,2816,2112
654847-1,2016,1512
1343963-0,2016,1512
933061-0,4000,3000
807902-1,1728,2304
809419-0,2048,1536
755607-1,3000,4000
1353538-0,4608,3456
756288-0,1536,2048
1035677-1,2016,1512
788925-0,4608,3456
883200-0,3456,4608
1252055-3,3456,4608
1015544-1,2000,1500
1618408-0,1560,2080
2007795-0,2000,1500
581672-2,4000,3000
755667-0,3000,4000
742216-1,2040,1536
937060-1,3456,4608
2233227-2,3648,2736
949598-1,3000,4000
888096-0,1488,1984
1954745-2,1728,2304
2207926-4,2080,1560
847094-0,2016,1512
757564-2,2080,1560
2015669-2,2000,1500
806235-0,1984,1488
1080058-2,3648,2736
811969-0,4000,3000
880899-0,1496,2000
768296-2,1984,1488
691408-0,2016,1512
937060-0,4608,3456
885816-0,3456,4608
895731-1,2080,1560
745528-1,1500,2000
514734-2,1824,1368
674249-1,3456,4608
1014771-0,1560,2080
937055-2,2040,1536
939059-0,1224,1632
648048-0,1728,2304
1355760-1,2000,1500
878071-2,2016,1512
780188-1,2080,1560
780196-0,2080,1560
939059-2,1632,1224
654836-0,2016,1512
1002746-2,2000,1500
807253-0,1500,2000
1100860-1,1488,1984
905001-1,2736,3648
1281107-2,4000,3000
756231-0,1728,2304
881713-1,1530,2040
1102497-1,1500,2000
888104-0,1488,1984
786072-2,2080,1560
848594-2,2016,1512
1100762-0,1632,1224
1053717-0,1560,2080
861997-0,2040,1530
622068-2,2016,1512
848594-0,2016,1512
843466-1,3000,4000
766842-1,3456,4608
884655-0,1632,1224
735431-1,2000,1500
2082916-1,2000,1500
806354-2,2000,1500
755576-0,3456,4608
810480-0,1728,1296
1341644-0,2080,1560
849852-0,2048,1536
1353218-1,3000,4000
923580-0,1560,2080
776958-2,2304,1728
1281271-0,2048,1536
1311928-4,3000,4000
1054361-2,1560,2080
811369-2,4000,3000
2010835-1,1560,2080
690080-2,1512,2016
691408-2,1512,2016
739261-2,1560,2080
2007795-1,2000,1500
1353217-1,1536,2048
844549-2,2080,1560
805685-2,1632,1224
953160-0,2000,1500
776946-0,1728,2304
623884-0,2080,1560
909581-2,1500,2000
886077-1,1632,1224
2179152-1,2312,1734
2052522-2,2000,1500
2098783-0,3648,2736
566679-1,3456,4608
839898-1,1560,2080
2251785-0,2000,1500
940649-1,2080,1560
868229-2,2112,2816
2097710-0,2048,1536
901951-0,2016,1512
2179140-2,2000,1500
757972-0,2736,3648
1282164-0,2016,1512
546055-0,3456,4608
1087581-1,2112,2816
904679-2,1560,2080
757979-2,3648,2736
2207926-0,2080,1560
892135-1,1560,2080
895590-2,2000,1500
759785-1,2736,3648
1001321-0,1464,1952
735430-0,3456,4608
1002510-2,1632,1224
939363-2,4096,3072
2212903-1,1500,2000
815522-0,1984,1488
1100860-2,1488,1984
1017265-2,1560,2080
918655-1,1728,2304
1137344-1,1464,1952
681083-0,2016,1512
1307747-1,3456,4608
1305686-1,3456,4608
771950-1,3000,4000
691383-1,1512,2016
755983-2,2000,1500
868484-0,1496,2000
685602-0,2000,1500
648043-2,4608,3456
1076136-2,2016,1512
876139-2,2080,1560
1418132-2,1560,2080
965951-1,2736,3648
1350434-2,4000,3000
853999-1,2628,3504
848591-2,2000,1496
2223846-0,4608,3456
756296-1,2080,1560
1184380-0,3456,4608
970912-2,4000,3000
2156630-1,2048,1536
756197-2,2080,1560
808370-2,2312,1734
631947-0,1224,1632
1155371-2,2048,1536
669729-0,2000,1500
811296-0,2016,1512
2242499-2,1464,1952
1075869-0,2000,1500
2241689-0,1940,2592
763299-1,2080,1560
885610-1,2040,1530
805835-0,3456,4608
1936045-1,1500,2000
811356-0,3456,4608
923404-0,4000,3000
935636-0,2040,1530
756323-1,1560,2080
